ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
189,Hotboy1,Hotboy1 End,,Ets... molt més dura del que sembles...,Tu es... bien plus coriace que tu en as l'air...,Du ... bist viel hartnäckiger als du aussiehst ...,Eres... más fuerte de lo que pareces...,Você... você é bem mais resistente do que aparenta...,Я... тебя недооценил...,意外と...強えじゃねえか...,너... 보기보다 강하구나...,你...比看上去可猛多了...,你...比看上去可猛多了...
190,Hotboy1,Hotboy1 End,,Mixeta...,Petit chat...,Kätzchen ...,Gatita...,Felina...,Котейка...,ネコちゃんよお...,나비...,小猫咪...,小貓咪...
191,Hotboy1,Hotboy1 End,,Heh... però no soc l'últim de la meva espècie...,Mais je ne suis pas le dernier de mon espèce.,Ha ... aber ich bin nicht der letzte meiner Art ...,Je... Pero no soy el último de mi especie...,Hehe... mas eu não sou o último da minha espécie...,Хе... Но я - не последний из моего клана...,けどな...オレにはまだ仲間がいる...,헤... 하지만 내가 마지막이 아니다...,呵呵...但我们族类并非只剩我一人...,呵呵...但我們族類不是只剩我一人...
192,Hotboy1,Hotboy1 End,,I la lava que flueix a través de nosaltres...,Et la lave qui s'écoule dans nos tuyaux,"Und die Lava, die durch unsere Rohre fließt ...",Y la lava que fluye por nuestras tuberías...,E a lava que flui em nossos canos...,Магма течет в наших трубах...,パイプをマグマが流れるかぎり...,그리고 파이프를 통해 흐르는 용암은...,我们管道里流着的岩浆...,我們管道裡流著的岩漿...
193,Hotboy1,Hotboy1 End,,Escalfarà el carbó de la nostra família eternament.,alimentera les chaudières de notre famille jusqu'à la nuit des temps.,Wird die Kohlen unserer Familie bis in alle Ewigkeit befeuern.,Calentará el carbón de nuestra familia hasta el fin de los tiempos.,Aquecerá as brasas da nossa família até o fim dos tempos.,Раскаляя наши сердца.,一族の石炭は燃えつづけるのさ。,오래도록 우리 가족의 석탄을 타오르게 할 것이다.,也将永生永世加热我们家族的燃料。,也將永生永世加熱我們家族的燃料。
194,Hotboy1,Hotboy1 End,,Germà!,Mon frère !,Bruder!,¡Hermano!,Irmão!,Брат мой!,兄ちゃん！,형!,兄弟啊！,兄弟啊！
195,Hotboy1,Hotboy1 End,,Venja la meva memòria!,Venge-moi !,Räche mich!,¡Véngame!,Vingue minha morte!,Отомсти за меня!,オレの仇を打ってくれ！,부디 복수를!,为我复仇吧！,為我復仇吧！
196,Hotboy2,Hotboy2 Begin,,"ALERTA, INTRÚS! Atura't ara mateix!",ALERTE INTRUSION ! Arrêtez-vous tout de suite !,ALARM! EINDRINGLING! Sofort stehenbleiben!,"¡ALERTA, INTRUSO! ¡Alto ahí!",ALERTA DE INVASÃO! Alto lá!,НАРУШИТЕЛЬ! Немедленно остановитесь!,侵入者ケイホー！ そこでストォォォップ！,침입자 경고! 당장 멈춰라!,入侵者警报！站住不许动！,入侵者警報！站住不許動！
197,Hotboy2,Hotboy2 Begin,,Bufa! Ho has fet tu!,Oups ! C'est toi !,Huch! Du warst es!,¡Ah! ¡Eres tú!,Oh! Foi você!,ОХ! Это же ты!,ぬぐわっ！キサマか！,으윽! 너였구나!,哦呦！是你啊！,哦呦！是你啊！
198,Hotboy2,Hotboy2 Begin,,Ja saps el que li has fet al meu germà.,Je sais ce que tu as fait à mon frère.,"Ich weiß, was du meinem Bruder angetan hast.",Sé lo que le hiciste a mi hermano.,Eu sei o que você fez com meu irmão.,Это же ты убила моего брата.,よくもやったな。,네가 내 동생에게 한 짓은 알고 있다.,我知道你对我哥哥做了什么。,我知道你對我哥哥做了什麼。
199,Hotboy2,Hotboy2 Begin,,Has acabat amb la seva vida prematurament.,Tu lui as pris la vie.,Du hast sein Leben vorzeitig beendet.,Acabaste con su vida de forma prematura.,Ele perdeu a vida cedo demais.,Это ты преждевременно прервала серебряную нить его жизни.,わが弟を滅ぼしおって。,내 동생을 어린 나이에 죽게 만들었지.,你让他英年早逝了。,你讓他英年早逝了。
200,Hotboy2,Hotboy2 Begin,,Abans de que li pogués créixer el bigoti!!!,Avant même qu'il n'ait le temps d'avoir une moustache !,Noch bevor er sich einen Schnurrbart wachsen lassen konnte!!!,¡¡Antes de que tuviera la ocasión de dejarse bigote!!,Antes mesmo que ele tivesse chance de cultivar um bigode!,"Еще до того, как у него начали расти усы.",まだ口ひげも生えて なかったのだぞ！！！,콧수염을 기르기도 전에 말이야!!!,他连胡子都还没长！！！,他連鬍子都還沒長！！！
201,Hotboy2,Hotboy2 Begin,,Com diu la dita...,Comme on dit chez nous...,Wie lautet das alte Sprichwort ...,Como dice el dicho...,Como já diz o ditado...,"Знаешь, есть такая поговорка...",古くから言うように...,옛말에 이런 말이 있지...,老话说得好...,俗話說得好...
202,Hotboy2,Hotboy2 Begin,,Els lligams de lava són més densos que els de sang.,Les liens de lave sont plus forts que ceux du sang.,Lava ist dicker als Blut.,La lava pesa más que la sangre.,A lava é mais grossa que o sangue.,В родной семье и лава гуще.,マグマは血よりも濃いのだ。,용암은 피보다 강하다.,岩浆浓于血。,岩漿濃於血。
203,Hotboy2,Hotboy2 Begin,,"Estimat germà, et venjaré!","Je te vengerai, mon frère !","Ich werde dich rächen, Bruder!","¡Hermano mío, te vengaré!","Irmão, eu vingarei você!","Я отомщу за тебя, брат!",弟よ、今こそ弔いをはたさん！,"동생아, 네 복수를 해주마!",哥哥啊，我要为你复仇！,哥哥啊，我要為你復仇！
204,Hotboy2,Hotboy2 End,,NOOOO!!!,NOOON !,NEEEIN!!!,¡¡NOOOO!!,NÃÃÃÃO!!!,НЕЕЕЕЕЕТ!!!,バカなぁぁぁぁぁっ！！！,안 돼애애!!!,不！！！！,不！！！！
205,Hotboy2,Hotboy2 End,,Això encara... no s'ha acabat...,Ce n'est... pas fini...,Es ist ... nicht vorbei ...,Esto no ha... terminado...,Isso... não ficará assim...,Это... еще... не конец...,まだ...終わっとらんぞ...,아직... 끝나지... 않았어...,这事...没完...,這事...還沒結束...
206,Hotboy2,Hotboy2 End,,Perquè encara que s'esfondri el meu cos.,Ma carcasse peut bien s'écrouler...,Denn auch wenn mein Körper zerfallen,Aunque mi cuerpo se desmorone...,"Porque ainda que meu corpo sucumba,",Ведь даже когда мое тело покинет жизнь...,たとえわが肉体が滅し...,비록 내가 쓰러지더라도...,因为虽然我的肉体或许粉碎了，,因為雖然我的肉體粉碎了，
207,Hotboy2,Hotboy2 End,,I desaparegui... la meva calor...,Et ma chaleur... se dissiper...,und sich meine Hitze ... verflüchtigen mag ...,Y mi calor... se disipe...,E meu calor... se dissipe...,Когда пламя моего сердца потухнет...,わが熱気が...霧と散っても...,내 열기가... 소멸시킬 테니까...,我的热量...或许散失了...,我的熱量...或許散失了...
208,Hotboy2,Hotboy2 End,,El meu bigoti viurà per sempre!!!,Mais ma moustache vivra éternellement !,Mein Schnurrbart wird ewig leben!!!,¡¡Mi bigote vivirá para siempre!!,Meu bigode viverá para sempre!,Мои усы будут жить!!!,わがヒゲは永遠に生き続けよう！！！,나의 콧수염은 영원하리라!!!,我的胡子将永垂不朽！！！,我的鬍子仍將永垂不朽！！！
209,Hotboy2,Hotboy2 End,,Què?,Quoi ?,Was?,¿Qué?,Ahn?,Что?,はあ？,왜?,什么玩意？,說什麼呢？
210,Mouse,Boss 3 Intro,,Psst!,Psst !,Psst!,¡Psst!,Psiu!,"Эй, пс-с!",おい！,야!,嘿！,嘿！
211,Mouse,Boss 3 Intro,,"Per aquí, mixeta!","Par ici, petit chat !","Hier unten, Kätzchen!","¡Aquí abajo, gatita!","Aqui embaixo, bichana!",Котейка!,こっちだ、ネコちゃん！,"여기다, 나비!",下面这儿呢，小猫咪！,下面這裡，小貓咪！
212,Kiki,Boss 3 Intro,,Meeuu?,Miaaaaou ?,Miauuu?,¿Miauuu?,Miaaaau?,Мяяяя?,みゃおーん？,야오오오옹?,喵喵喵？,喵喵喵？
213,Gary,Boss 3 Intro,,Qui hi ha? Digues el teu nom el teu grau militar!,Qui est là ? Déclinez votre nom et votre fonction !,Wer ist da? Bitte Namen und Rang angeben!,¿Quién anda ahí? ¡Di tu nombre y rango!,Quem é? Informe seu nome e sua patente!,Кто здесь? Представьтесь и назовите звание!,何者だ？名前と階級を言え！,누구지? 이름과 직위를 밝혀라!,那是谁啊？报上姓名和军衔来！,那是誰啊？報上姓名和軍銜來！
214,Mouse,Boss 3 Intro,,Crii crii... cri.,"Couic, couic... couic.","Quiek, quiek ... quiek.","Iiik, iik... Iik.",Squik squik... squik.,Пи-пи... Пи-пи-пи.,チューチュー...チュチュチュッ。,찍 찍...찍.,吱吱吱...吱吱。,吱吱吱...吱吱。
215,Mouse,Boss 3 Intro,,Senyor!,Chef !,Sir!,¡Señor!,Senhor!,Сэр!,でありますッ！,님이시다!,长官！,長官！
216,Gary,Boss 3 Intro,,De debò? Un altre ratolí?,Quoi ? Un autre rongeur ?,Im Ernst? Noch eine Ratte?,¿En serio? ¿Otra rata?,Sério? Outro rato?,Серьезно? Опять крыса?,おいおい？またネズミか？,또야? 다른 쥐인가?,什么鬼？又是只老鼠？,當真？又是隻老鼠？
217,Gary,Boss 3 Intro,,Aquí passa una cosa estranya.,"Il se passe vraiment quelque chose d'étrange, ici.",Hier geht etwas sehr Seltsames vor.,Aquí está pasando algo muy raro.,Tem alguma coisa muito estranha acontecendo por aqui.,Здесь что-то очень сильно не так.,ここでは確かに妙なことが 起きているようだ...,여기서 이상한 일이 벌어지고 있는 게 틀림없어.,这里绝对有猫腻。,這裡絕對有黑幕。
218,Mouse,Boss 3 Intro,,He he he...,"Hé, hé, hé...",Hehehe ...,"Je, je, je...",He he he...,И-хи-хи-хи...,ウヒヒヒ...,헤 헤 헤...,哎嘿嘿嘿...,哎嘿嘿嘿...
219,Gary,Boss 3 Intro,,"Ja n'hi ha prou! Kiki, ja saps el que has de fer!","Ça suffit ! Kiki, tu sais ce qu'il te reste à faire !","Genug! Du weißt, was du zu tun hast, Kiki!","¡Basta! ¡Kiki, ya sabes lo que tienes que hacer!","Já chega! Kiki, você já sabe o que fazer!","Все, с меня хватит. Кики, ты знаешь, что делать.",だまれ！キキ、あとは頼んだぞ！,"이제 됐어! 나비야, 말 안 해도 알지?",够了！琪琪，你知道该怎么做！,夠了！琪琪，你知道該怎麼做！
220,Gary,Boss 3 Outro,,Caram! Ha sigut intens!,Wouah ! C'était intense !,Wow! Das war heftig!,¡Caramba! ¡Qué tensión!,Uau! Que intenso!,Ого! Было жестко!,ふう！危なかった！,우와! 치열했는데!,哇哦！真是激烈啊！,哇哦！真是激烈啊！
221,Gary,Boss 3 Outro,,Et trobes bé Kiki?,"Ça va, Kiki ?","Ist bei dir alles in Ordnung, Kiki?","¿Estás bien, Kiki?","Você está bem, Kiki?","Ты как, Кики, все нормально?",だいじょうぶか、キキ？,"다치진 않았지, 나비야?",你没事吧，琪琪？,你沒事吧，琪琪？
222,Kiki,Boss 3 Outro,,...,...,...,...,...,...,...,...,...,...
223,Gary,Boss 3 Outro,,Kiki! T'estàs cremant!!,Kiki ! Tu brûles !,Kiki! Du glühst ja!!,¡Kiki! ¡¡Te estás quemando!!,Kiki! Você está pegando fogo!,Кики! Да ты горишь!,キキ！すごい熱だ！,나비야! 너 엄청 더운 모양이구나!!,琪琪！你温度太高了！！,琪琪！你溫度太高了！！
224,Gary,Boss 3 Outro,,Bé però tinc bones notícies. Per refredar aquest lloc.,"Mais j'ai une bonne nouvelle. Pour refroidir la zone,","Ich habe gute Neuigkeiten. Um das komplette Gebiet zu kühlen,","Bueno, tengo buenas noticias. Para enfriar toda el área,","Bem, eu tenho boas notícias. Para esfriar este lugar inteiro,","Так, у меня хорошие новости. Остудить эту зону довольно легко,",だが案ずるな。次の部屋の 加熱チューブを破壊すれば...,"음, 좋은 소식이 있어. 이곳 전체를 식히려면,",但是我有好消息。想给整片地区降温，,但是我有好消息。想給整片地區降溫，
225,Gary,Boss 3 Outro,,Només cal que destrueixis las canonades de la següent habitació.,il te suffit de détruire les tuyaux de la chaudière dans la pièce suivante.,musst du einfach nur die Heizrohre im nächsten Raum zerstören.,solo hay que destruir los tubos de calefacción de la siguiente sala.,basta destruir os canos de calefação na área seguinte.,Просто уничтожь нагревательный элемент в следующей комнате.,エリア全体を冷却できよう。,옆방에 있는 히터 튜브를 파괴하기만 하면 돼.,去下一个房间破坏加热管道就好了。,去下一個房間破壞加熱管道就好了。
226,Gary,Cleared Heater Tubes,,Ahh... Sembla que ha funcionat Kiki!,"Ah... On dirait que ça a marché, Kiki !","Ah ... Das hat anscheinend funktioniert, Kiki.","Ah... ¡Parece que ha funcionado, Kiki!","Ahh... Acho que funcionou, Kiki!","Ох... Вот видишь, Кики, помогло!",おお...どうやらうまくいったぞ、キキ！,"아... 잘 먹힌 거 같아, 나비야!",啊...看样子成功了呢，琪琪！,啊...看樣子成功了呢，琪琪！
227,Gary,Cleared Heater Tubes,,Aquesta zona hauria d'estar menys calenta ara!,"Il devrait faire bien meilleur, maintenant.",Das Gebiet sollte jetzt angenehm kühl sein.,¡Ahora el área debería estar más fresquita!,A temperatura local ficará bem mais agradável!,Теперь у тебя там должно быть прохладно!,辺りはもうヒンヤリ快適なはずだ！,이제 이곳이 시원해질 거야!,周围应该凉爽宜人了吧！,周圍應該涼爽多了吧！
228,Kiki,Cleared Heater Tubes,,MEU!!!,MIAOU !,MIAU!!!,¡¡MIAU!!,MIAU!!!,МЯЯЯЯ!,みゃおん！！！,야옹!!!,喵喵！！！,喵喵！！！
229,Gary,Cleared Heater Tubes,,Ara podràs sortir del vestit sense cap problema.,Tu vas pouvoir sortir de ta combinaison sans risque.,Jetzt kannst du den Mech gefahrlos verlassen.,Ahora podrás salir del meca sin problemas.,Agora você já pode sair da armadura em segurança.,Теперь можно вылезать из костюма.,これで安全にスーツを脱げる。,이제 메크를 안전하게 나올 수 있겠구나.,你现在能安全脱出机甲了。,你現在能安全脫出機甲了。
230,Gary,Cleared Heater Tubes,,Tornem al Nexe i seguim amb la feina.,Retourne au centre de contrôle pour passer à la suite.,"Wir bringen dich jetzt zurück zum Nexus, damit du die Mission fortsetzen kannst.",Volvamos al nexo para seguir con el trabajo.,Vamos voltar para o Nexus e continuar o trabalho.,Давай вернемся в Нексус и будем продолжать в том же духе.,ネクサスへ戻って、任務を続けよう。,넥서스로 돌아가서 할 일을 계속하자.,咱们回新星中心继续干活吧。,我們回新星中心繼續做事吧。
